"Date(UTC)","UnixTimeStamp","Value"
"6/20/2016","1466380800","47118"
"6/21/2016","1466467200","47323"
"6/22/2016","1466553600","48615"
"6/23/2016","1466640000","41908"
"6/24/2016","1466726400","45331"
"6/25/2016","1466812800","36684"
"6/26/2016","1466899200","41613"
"6/27/2016","1466985600","39663"
"6/28/2016","1467072000","43089"
"6/29/2016","1467158400","49897"
"6/30/2016","1467244800","63952"
"7/1/2016","1467331200","40085"
"7/2/2016","1467417600","39257"
"7/3/2016","1467504000","39757"
"7/4/2016","1467590400","39950"
"7/5/2016","1467676800","39270"
"7/6/2016","1467763200","37900"
"7/7/2016","1467849600","40433"
"7/8/2016","1467936000","42506"
"7/9/2016","1468022400","40410"
"7/10/2016","1468108800","39358"
"7/11/2016","1468195200","38582"
"7/12/2016","1468281600","40811"
"7/13/2016","1468368000","35740"
"7/14/2016","1468454400","42809"
"7/15/2016","1468540800","41110"
"7/16/2016","1468627200","38062"
"7/17/2016","1468713600","33914"
"7/18/2016","1468800000","39198"
"7/19/2016","1468886400","44184"
"7/20/2016","1468972800","50631"
"7/21/2016","1469059200","44882"
"7/22/2016","1469145600","48458"
"7/23/2016","1469232000","45006"
"7/24/2016","1469318400","58215"
"7/25/2016","1469404800","54856"
"7/26/2016","1469491200","61930"
"7/27/2016","1469577600","53035"
"7/28/2016","1469664000","48555"
"7/29/2016","1469750400","47243"
"7/30/2016","1469836800","42011"
"7/31/2016","1469923200","48749"
"8/1/2016","1470009600","45978"
"8/2/2016","1470096000","49041"
"8/3/2016","1470182400","49475"
"8/4/2016","1470268800","46761"
"8/5/2016","1470355200","43212"
"8/6/2016","1470441600","41487"
"8/7/2016","1470528000","42955"
"8/8/2016","1470614400","42984"
"8/9/2016","1470700800","47057"
"8/10/2016","1470787200","46290"
"8/11/2016","1470873600","48171"
"8/12/2016","1470960000","44400"
"8/13/2016","1471046400","41088"
"8/14/2016","1471132800","40577"
"8/15/2016","1471219200","42302"
"8/16/2016","1471305600","48949"
"8/17/2016","1471392000","44867"
"8/18/2016","1471478400","47799"
"8/19/2016","1471564800","42948"
"8/20/2016","1471651200","41318"
"8/21/2016","1471737600","42543"
"8/22/2016","1471824000","44250"
"8/23/2016","1471910400","48430"
"8/24/2016","1471996800","46821"
"8/25/2016","1472083200","49868"
"8/26/2016","1472169600","47292"
"8/27/2016","1472256000","47938"
"8/28/2016","1472342400","42607"
"8/29/2016","1472428800","45510"
"8/30/2016","1472515200","46979"
"8/31/2016","1472601600","45846"
"9/1/2016","1472688000","47491"
"9/2/2016","1472774400","55413"
"9/3/2016","1472860800","44792"
