Date,Open,High,Low,Close,Adj Close,Volume
2020-07-07,0.031459,0.033496,0.030463,0.032277,0.032277,594649
2020-07-08,0.032357,0.033511,0.031575,0.032570,0.032570,455462
2020-07-09,0.032568,0.034014,0.032056,0.033317,0.033317,587695
2020-07-10,0.033380,0.033392,0.031792,0.032531,0.032531,445982
2020-07-11,0.032703,0.033504,0.032241,0.033489,0.033489,395904
2020-07-12,0.033488,0.034146,0.032863,0.033663,0.033663,416421
2020-07-13,0.033663,0.034339,0.032083,0.032528,0.032528,447556
2020-07-14,0.032346,0.033301,0.032132,0.032559,0.032559,440978
2020-07-15,0.032571,0.033132,0.031867,0.031993,0.031993,487654
2020-07-16,0.031953,0.039443,0.031589,0.033052,0.033052,1251579
2020-07-17,0.033054,0.040219,0.032137,0.039818,0.039818,1394636
2020-07-18,0.039470,0.047925,0.037540,0.046335,0.046335,2433326
2020-07-19,0.046277,0.059780,0.041925,0.055963,0.055963,3549029
2020-07-20,0.056366,0.153633,0.053679,0.113175,0.113175,36683244
2020-07-21,0.112377,0.157148,0.092561,0.100208,0.100208,19813157
2020-07-22,0.100291,0.114138,0.090663,0.094557,0.094557,8716110
2020-07-23,0.094594,0.153193,0.091136,0.122127,0.122127,23887265
2020-07-24,0.121762,0.131207,0.098407,0.101978,0.101978,8093903
2020-07-25,0.102281,0.110051,0.094691,0.095966,0.095966,4458790
2020-07-26,0.096368,0.096582,0.083658,0.086122,0.086122,4208854
2020-07-27,0.086092,0.086346,0.070666,0.071992,0.071992,4622475
2020-07-28,0.071555,0.124904,0.070811,0.098728,0.098728,18169984
2020-07-29,0.099445,0.110322,0.094081,0.100857,0.100857,8693708
2020-07-30,0.100968,0.122532,0.098351,0.102040,0.102040,8346132
2020-07-31,0.102109,0.104570,0.092378,0.096514,0.096514,3978646
2020-08-01,0.096514,0.102052,0.086192,0.088903,0.088903,4996253
2020-08-02,0.088896,0.111393,0.086148,0.110426,0.110426,9060288
2020-08-03,0.110515,0.113198,0.096893,0.100693,0.100693,6008929
2020-08-04,0.100685,0.109739,0.100402,0.109449,0.109449,4370155
2020-08-05,0.109572,0.109964,0.099567,0.101520,0.101520,4591424
2020-08-06,0.101524,0.108983,0.101314,0.102650,0.102650,4003271
2020-08-07,0.102644,0.118527,0.102574,0.111199,0.111199,6166034
2020-08-08,0.111122,0.120871,0.111122,0.115596,0.115596,5531983
2020-08-09,0.115522,0.116159,0.108955,0.111066,0.111066,3293533
2020-08-10,0.111118,0.112132,0.102158,0.105351,0.105351,4817486
2020-08-11,0.105460,0.108815,0.093900,0.096287,0.096287,2903738
2020-08-12,0.096139,0.105513,0.090303,0.102129,0.102129,4195329
2020-08-13,0.102092,0.102409,0.093057,0.097646,0.097646,3347929
2020-08-14,0.097319,0.100856,0.096401,0.099273,0.099273,2556891
2020-08-15,0.099400,0.100214,0.093845,0.094486,0.094486,2108213
2020-08-16,0.094470,0.099740,0.093873,0.097000,0.097000,2225324
2020-08-17,0.097000,0.137421,0.096562,0.123918,0.123918,13111596
2020-08-18,0.124764,0.147015,0.109235,0.109235,0.109235,8769051
2020-08-19,0.108595,0.111973,0.097444,0.097743,0.097743,4251025
2020-08-20,0.097660,0.105783,0.097258,0.102878,0.102878,3051533
2020-08-21,0.102492,0.103824,0.091750,0.091750,0.091750,3024044
2020-08-22,0.091892,0.097319,0.089512,0.096448,0.096448,2718477
2020-08-23,0.096316,0.097505,0.092195,0.093082,0.093082,2333914
2020-08-24,0.093082,0.101384,0.091896,0.097208,0.097208,2962287
2020-08-25,0.097001,0.100991,0.087746,0.090438,0.090438,2351298
2020-08-26,0.090317,0.094435,0.089152,0.093090,0.093090,1606645
2020-08-27,0.093063,0.093560,0.085387,0.088914,0.088914,2562416
2020-08-28,0.088994,0.104876,0.088550,0.098164,0.098164,4523525
2020-08-29,0.098411,0.104623,0.095760,0.096111,0.096111,2590790
2020-08-30,0.095965,0.097395,0.093530,0.095351,0.095351,2594605
2020-08-31,0.095395,0.097437,0.093044,0.093629,0.093629,2295011
2020-09-01,0.093513,0.097981,0.092068,0.096817,0.096817,2840136
2020-09-02,0.096800,0.096956,0.090136,0.092735,0.092735,1413622
2020-09-03,0.092735,0.092799,0.077531,0.078198,0.078198,1022566
2020-09-04,0.078225,0.080776,0.074942,0.079628,0.079628,1001605
2020-09-05,0.079620,0.080894,0.068827,0.070402,0.070402,893088
2020-09-06,0.070402,0.076438,0.067861,0.075954,0.075954,876348
2020-09-07,0.075959,0.077751,0.071845,0.077442,0.077442,761644
2020-09-08,0.077468,0.078084,0.060715,0.062865,0.062865,321213
2020-09-09,0.062864,0.065976,0.060182,0.065438,0.065438,296370
2020-09-10,0.065385,0.081409,0.064965,0.069430,0.069430,1151782
2020-09-11,0.069430,0.074730,0.065459,0.071611,0.071611,653499
2020-09-12,0.071625,0.078546,0.070992,0.071436,0.071436,618221
2020-09-13,0.071436,0.078571,0.065514,0.065934,0.065934,622903
2020-09-14,0.065902,0.069856,0.063915,0.069390,0.069390,1040783
2020-09-15,0.069404,0.069989,0.061376,0.061996,0.061996,1207239
2020-09-16,0.062011,0.064567,0.060891,0.061971,0.061971,1098020
2020-09-17,0.062008,0.063985,0.057403,0.057934,0.057934,1074697
2020-09-18,0.057934,0.057992,0.052932,0.056100,0.056100,556483
2020-09-19,0.056149,0.060953,0.055088,0.056801,0.056801,710748
2020-09-20,0.056702,0.057080,0.051311,0.052779,0.052779,487994
2020-09-21,0.052777,0.053984,0.043866,0.049547,0.049547,805385
2020-09-22,0.049732,0.060294,0.045704,0.049349,0.049349,878984
2020-09-23,0.049349,0.050165,0.045561,0.046720,0.046720,650925
2020-09-24,0.046720,0.049190,0.044778,0.048843,0.048843,637851
2020-09-25,0.048836,0.052648,0.046672,0.050781,0.050781,656864
2020-09-26,0.050718,0.054170,0.049963,0.053466,0.053466,417552
2020-09-27,0.053472,0.056284,0.051676,0.052343,0.052343,508894
2020-09-28,0.052343,0.057848,0.052339,0.055088,0.055088,788888
2020-09-29,0.055115,0.056188,0.052767,0.053282,0.053282,575588
2020-09-30,0.053281,0.053581,0.050655,0.052112,0.052112,358663
2020-10-01,0.052112,0.055219,0.048360,0.049834,0.049834,480489
2020-10-02,0.049836,0.049923,0.045642,0.047388,0.047388,501114
2020-10-03,0.047330,0.050767,0.047315,0.049038,0.049038,314630
2020-10-04,0.049038,0.049773,0.045822,0.046745,0.046745,455452
2020-10-05,0.046745,0.056620,0.046444,0.048373,0.048373,743152
2020-10-06,0.048377,0.048419,0.043966,0.043974,0.043974,485799
2020-10-07,0.043974,0.047451,0.042898,0.045029,0.045029,341500
2020-10-08,0.045050,0.045430,0.041255,0.044738,0.044738,434445
2020-10-09,null,null,null,null,null,null
2020-10-10,0.047236,0.049483,0.045473,0.049053,0.049053,723422
2020-10-11,0.048998,0.050016,0.048743,0.049495,0.049495,363097
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,0.049808,0.050277,0.047304,0.048082,0.048082,386294
2020-10-15,0.048077,0.048792,0.045839,0.045848,0.045848,493509
2020-10-16,0.045840,0.046507,0.042175,0.043407,0.043407,679354
2020-10-17,0.043401,0.045748,0.043401,0.043873,0.043873,240393
2020-10-18,0.043897,0.045131,0.043507,0.044679,0.044679,237145
2020-10-19,0.044638,0.045049,0.041387,0.041993,0.041993,430209
2020-10-20,0.041994,0.042314,0.038244,0.040257,0.040257,463046
2020-10-21,0.040302,0.042429,0.040193,0.040855,0.040855,623417
2020-10-22,0.040855,0.043767,0.039514,0.042040,0.042040,748401
2020-10-23,0.042032,0.043497,0.040904,0.041129,0.041129,396638
2020-10-24,0.041129,0.041732,0.040032,0.040839,0.040839,367150
2020-10-25,0.040839,0.044953,0.039822,0.042863,0.042863,525493
2020-10-26,0.042863,0.057696,0.042863,0.045113,0.045113,3752743
2020-10-27,0.045113,0.048087,0.042329,0.043137,0.043137,1449210
